LLNR,Name,Position,Characteristic,Height,Range,Structure,Remarks
937.4,Lob120 Reef Buoy C,"25-21-15.420N, 080-11-02.880W",,,,Yellow sphere.,
937.6,Lob120 Reef Buoy D,"25-21-16.200N, 080-11-20.280W",,,,Yellow sphere.,
940,Ball Buoy Reef Buoy A,"25-19-22.740N, 080-11-06.600W",,,,Yellow sphere.,
940.2,Ball Buoy Reef Buoy B,"25-19-02.640N, 080-10-46.500W",,,,Yellow sphere.,
940.4,Ball Buoy Reef Buoy C,"25-18-43.920N, 080-11-09.300W",,,,Yellow sphere.,
940.6,Ball Buoy Reef Buoy D,"25-19-04.020N, 080-11-29.340W",,,,Yellow sphere.,
945.1,Carysfort Reef Light,"25-13-36.908N, 080-12-33.236W",Fl (3)W 60s,40,13,,
947,Carysfort Reef Buoy A,"25-14-07.980N, 080-12-47.040W",,,,Yellow can.,
947.2,Carysfort Reef Buoy B,"25-13-46.920N, 080-11-59.700W",,,,Yellow can.,
947.4,Carysfort Reef Buoy C,"25-11-57.180N, 080-12-57.180W",,,,Yellow can.,
947.4,Carysfort Reef Buoy C,"25-11-57.180N, 080-12-57.180W",,,,Yellow can.,
947.6,Carysfort Reef Buoy D,"25-12-08.710N, 080-13-46.260W",,,,Yellow can.,
948,The Elbow Buoy A,"25-08-58.000N, 080-15-37.600W",,,,Yellow can.,
948.2,The Elbow Buoy B,"25-08-57.200N, 080-15-13.200W",,,,Yellow can.,
948.4,The Elbow Buoy C,"25-08-10.980N, 080-15-38.500W",,,,Yellow can.,
948.6,The Elbow Buoy D,"25-08-30.100N, 080-16-00.400W",,,,Yellow can.,
950,Elbow Reef Light 6,"25-08-40.380N, 080-15-29.879W",Fl R 2.5s,27,5,TR on skeleton tower on piles.,
952,Horseshoe Reef Data Lighted Buoy,"25-08-17.800N, 080-17-44.620W",Fl Y 4s,,,Yellow pyramidal.,
953,Dry Rocks Buoy A,"25-07-35.400N, 080-17-54.500W",,,,Yellow can.,
953.2,Dry Rocks Buoy B,"25-07-35.400N, 080-17-42.200W",,,,Yellow can.,
953.4,Dry Rocks Buoy C,"25-07-14.900N, 080-17-49.300W",,,,Yellow can.,
953.6,Dry Rocks Buoy D,"25-07-24.600N, 080-18-05.400W",,,,Yellow can.,
954,Grecian Rocks Buoy A,"25-06-54.500N, 080-18-11.700W",,,,Yellow can.,
954.2,Grecian Rocks Buoy B,"25-06-40.380N, 080-18-00.300W",,,,Yellow can.,
